time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSD2_voltage,node_BUSDS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSHG_voltage,node_BUSHR_voltage,node_BUSMS_voltage,node_BUSHS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_current_branch_fixed_6,branch_current_branch_fixed_8,branch_current_branch_fixed_9,branch_current_branch_fixed_11,branch_current_branch_fixed_12,branch_current_branch_fixed_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e-05,10.0000022,10,11.99999736,12,9.2592499148e-14,4.6296249574e-14,1.23711216794e-13,6.18556083969e-14,9.99999092593e-13,1.19999892371e-12,10,10.0000022,9.2592499148e-14,12,11.99999736,1.23711216794e-13,1.01794744006e-13,9.07406491651e-07,1.2081173515e-13,1.07628758611e-06,9.07406593445e-07,1.07628770692e-06
4e-05,9.99999820001,10,12.00000216,12,2.60630736796e-13,1.30315368398e-13,3.45626183538e-13,1.72813091769e-13,9.99999260631e-13,1.19999914563e-12,10,9.99999820001,2.60630736796e-13,12,12.00000216,3.45626183538e-13,2.86533351799e-13,7.39368237302e-07,3.37525569861e-13,8.54372624564e-07,7.39368523835e-07,8.54372962089e-07
6e-05,10.0000022,10,11.99999736,12,3.97550779481e-13,1.98775389741e-13,5.21785487997e-13,2.60892743999e-13,9.99999397551e-13,1.19999932179e-12,10,10.0000022,3.97550779481e-13,12,11.99999736,5.21785487997e-13,4.37061103211e-13,6.02448181009e-07,5.09556140622e-13,6.78213324233e-07,6.0244861807e-07,6.78213833789e-07
8e-05,9.99999820003,10,12.00000216,12,5.09115256419e-13,2.5455762821e-13,6.61623287146e-13,3.30811643573e-13,9.99999509116e-13,1.19999946162e-12,10,9.99999820003,5.09115256419e-13,12,12.00000216,6.61623287146e-13,5.59713342589e-13,4.90883692983e-07,6.46116491353e-13,5.38375528362e-07,4.90884252697e-07,5.38376174478e-07
0.0001,10.0000022,10,11.99999736,12,6.00019643172e-13,3.00009821586e-13,7.72628550994e-13,3.86314275497e-13,9.9999960002e-13,1.19999957263e-12,10,10.0000022,6.00019643172e-13,12,11.99999736,7.72628550994e-13,6.59652202256e-13,3.99979297196e-07,7.5452006933e-13,4.27370267115e-07,3.99979956848e-07,4.27371021635e-07
0.00012,9.99999820005,10,12.0000021599,12,6.74089882712e-13,3.37044941356e-13,8.60746132055e-13,4.30373066028e-13,9.9999967409e-13,1.19999966075e-12,10,9.99999820005,6.74089882712e-13,12,12.0000021599,8.60746132055e-13,7.41083864019e-13,3.25909050294e-07,8.40572394585e-13,3.39252688119e-07,3.25909791378e-07,3.39253528691e-07
0.00014,10.0000021999,10,11.9999973601,12,7.34443409989e-13,3.67221704994e-13,9.30695140084e-13,4.65347570042e-13,9.99999734444e-13,1.1999997307e-12,10,10.0000021999,7.34443409989e-13,12,11.9999973601,9.30695140084e-13,8.07435587059e-13,2.65555517019e-07,9.08881972738e-13,2.6930368173e-07,2.65556324455e-07,2.69304590612e-07
0.00016,9.99999820007,10,12.0000021599,12,7.83620357132e-13,3.91810178566e-13,9.86221672533e-13,4.93110836267e-13,9.99999783621e-13,1.19999978622e-12,10,9.99999820007,7.83620357132e-13,12,12.0000021599,9.86221672533e-13,8.61499952872e-13,2.16378564988e-07,9.63107102083e-13,2.13777150582e-07,2.16379426488e-07,2.13778113689e-07
0.00018,10.0000021999,10,11.9999973601,12,8.23690461391e-13,4.11845230696e-13,1.03029943565e-12,5.15149717823e-13,9.99999823691e-13,1.1999998303e-12,10,10.0000021999,8.23690461391e-13,12,11.9999973601,1.03029943565e-12,9.05552398187e-13,1.76308456747e-07,1.00615179262e-12,1.69699388502e-07,1.763093623e-07,1.69700394653e-07
0.0002,9.99999820008,10,12.0000021599,12,8.56340175303e-13,4.28170087652e-13,1.06528900037e-12,5.32644500185e-13,9.9999985634e-13,1.19999986529e-12,10,9.99999820008,8.56340175303e-13,12,12.0000021599,1.06528900037e-12,9.41446982523e-13,1.4365873959e-07,1.04032128942e-12,1.34709824598e-07,1.43659681037e-07,1.34710864919e-07
