time_s,BUSA2_v_pu,BUSAS2_v_pu,BUSB2_v_pu,BUSBS2_v_pu,BUSC2_v_pu,BUSCS2_v_pu,BUSMG_v_pu,BUSMGR_v_pu,BUSMS_v_pu,UM1TLA_v_pu,UM1TLB_v_pu,UM1TLC_v_pu,UM1MCC_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_7_pu,branch_current_branch_fixed_9_pu,branch_current_branch_fixed_10_pu,torque_Nm_pu,mechanical_speed_rad_s_pu,mechanical_angle_rad_pu,phase_a_current_A_pu,phase_b_current_A_pu,phase_c_current_A_pu,stator_current_1_A_pu,stator_current_2_A_pu,stator_current_3_A_pu
0,1784.37467538,3000,-1525.70274703,-1500,-258.671928347,-1500,184.725648031,92.3628240155,184.72168296,1638.50196503,-1528.79159197,-109.710373058,184.725648031,3000,1784.37467538,184.725648031,-194.05041483,203.084485522,0,-3965.07077065,-4168.15525584,184.725648031,0.785398163397,-194.05041483,376.274652795,-182.224237965,161.366805109,-308.490134451,147.123329342
0.0002,1834.30220223,2991.47670078,-1432.5274627,-1300.03356887,-401.774739528,-1691.44313191,184.725647945,92.3628239724,184.721682874,1695.44387574,-1448.43122626,-247.012649475,184.725647945,2991.47670078,1834.30220223,184.725647945,-217.778001233,203.084485427,-0.0845327675343,-3965.07077062,-4168.07072299,184.725648031,0.822343293004,-217.778001233,374.69193542,-156.913934187,161.751738814,-308.471392853,146.719654039
0.0004,1874.01081745,2965.95523421,-1331.1916648,-1092.68008768,-542.819152648,-1873.27514654,184.725647678,92.3628238391,184.721682607,1742.98037066,-1359.81750583,-383.162864833,184.725647678,2965.95523421,1874.01081745,184.725647678,-240.26873234,203.084485134,-0.176775842905,-3965.07077065,-4167.97847959,184.725648031,0.85928842261,-240.26873234,370.981135037,-130.712402697,162.136457454,-308.451378704,146.31492125
0.0006,1902.87749524,2923.58061836,-1222.32979198,-879.117780255,-680.547703265,-2044.4628381,184.725647214,92.3628236071,184.721682143,1780.39625721,-1263.51961534,-516.876641863,184.725647214,2923.58061836,1902.87749524,184.725647214,-261.394706075,203.084484624,-0.277905285358,-3965.07077059,-4167.87734967,184.725648031,0.896233552216,-261.394706075,365.163163004,-103.768456929,162.521017974,-308.429999695,145.908981721
0.0008,1921.11481164,2864.59363424,-1106.46889696,-660.560150242,-814.645914682,-2204.033484,184.725646537,92.3628232687,184.721681467,1807.90072537,-1159.98223382,-647.918491541,184.725646537,2864.59363424,1921.11481164,184.725646537,-281.035983101,203.08448388,-0.38540032506,-3965.07077065,-4167.76985386,184.725648031,0.933178681822,-281.035983101,357.271232985,-76.235249884,162.905476726,-308.407441946,145.50196522
0.001,1928.2650404,2789.32945766,-984.391302765,-438.249085687,-943.873737635,-2351.08037198,184.725645634,92.3628228168,184.721680563,1824.9408993,-1049.93253701,-775.008362284,184.725645634,2789.32945766,1928.2650404,184.725645634,-299.080835383,203.084482886,-0.500349968672,-3965.07077062,-4167.65490324,184.725648031,0.970123811429,-299.080835383,347.350018726,-48.269183343,163.289888685,-308.383619191,145.093730506
0.0012,1924.61757294,2698.2157547,-856.634772502,-213.447802406,-1067.98280044,-2484.76795229,184.72564449,92.3628222451,184.721679419,1831.78957625,-933.821234386,-897.968341866,184.72564449,2698.2157547,1924.61757294,184.72564449,-315.426846866,203.084481629,-0.620193362236,-3965.07077062,-4167.53505861,184.725648031,1.00706894103,-315.426846866,335.456044048,-20.0291971827,163.674303332,-308.358720798,144.684417467
0.0014,1909.88869015,2591.77025158,-724.112345991,12.5663338665,-1185.77634416,-2604.33658544,184.725643096,92.3628215481,184.721678025,1828.06686255,-812.517647455,-1015.5492151,184.725643096,2591.77025158,1909.88869015,184.725643096,-329.98099889,203.084480097,-0.745949923992,-3965.07077062,-4167.40930046,184.725648031,1.04401407064,-329.98099889,321.656730436,8.32426845363,164.05877259,-308.33266534,144.27389275
0.0016,1884.43959737,2470.59779288,-587.359551727,238.509065723,-1297.08004564,-2709.10685861,184.725641442,92.362820721,184.721676371,1814.10472583,-686.467458189,-1127.63726765,184.725641442,2470.59779288,1884.43959737,184.725641442,-342.660723817,203.084478278,-0.875037789345,-3965.07077065,-4167.28021076,184.725648031,1.08095920025,-342.660723817,306.030629776,36.6300940418,164.443338061,-308.305644156,143.862306095
0.0018,1848.16557656,2335.3869047,-447.400311641,463.096541491,-1400.76526492,-2798.48344619,184.72563952,92.3628197601,184.721674449,1789.70325791,-556.663398013,-1233.0398599,184.72563952,2335.3869047,1848.16557656,184.72563952,-353.393822999,203.084476166,-1.00842532516,-3965.07077062,-4167.14682111,184.725648031,1.11790432985,-353.393822999,288.666380373,64.7274426266,164.828047685,-308.277579406,143.449531722
